second,pitch,note,scale
111,174.6558838,F3,6.0
112,297.5932261666667,D4,3.0
113,315.1956728,D#4,4.0
114,345.3271991666666,F4,6.0
115,317.1067038,D#4,4.0
116,358.0785158,F4,6.0
117,222.43622833333333,A3,10.0
118,206.1853272,G#3,9.0
119,163.60174560000002,E3,5.0
120,230.15502949999998,A#3,11.0
121,255.29900179999998,C4,1.0
122,0.0,0,0.0
123,0.0,0,0.0
124,288.83883679999997,D4,3.0
125,216.1787313333333,A3,10.0
126,189.037213,F#3,7.0
127,355.7451425,F4,6.0
128,212.589221,G#3,9.0
129,357.5267028,F4,6.0
130,166.7437795,E3,5.0
131,390.6398012,G4,8.0
132,201.09389040000002,G3,8.0
133,322.0802765,E4,5.0
134,275.3177186,C#4,2.0
135,252.97222383333335,B3,12.0
136,207.7138672,G#3,9.0
137,366.257178,F#4,7.0
138,339.0105643333333,E4,5.0
139,571.5422971999999,D5,3.0
140,350.70789850000006,F4,6.0
141,319.95700700000003,D#4,4.0
142,355.6608522,F4,6.0
143,307.8782908333333,D#4,4.0
144,451.0711302000001,A4,10.0
145,300.15761699999996,D4,3.0
146,411.25777683333325,G#4,9.0
147,265.286969,C4,1.0
148,406.31971266666665,G#4,9.0
149,317.5666992,D#4,4.0
150,184.6060334,F#3,7.0
151,101.73939633333333,G#2,9.0
152,325.30083320000006,E4,5.0
153,145.87324516666663,D3,3.0
154,17.7184372,C#0,2.0
155,0.0,0,0.0
156,0.0,0,0.0
157,0.0,0,0.0
158,0.0,0,0.0
159,58.710118666666666,A#1,11.0
160,69.9515258,C#2,2.0
161,0.0,0,0.0
162,67.96593019999999,C#2,2.0
163,17.5312698,C#0,2.0
164,0.0,0,0.0
165,0.0,0,0.0
166,0.0,0,0.0
167,0.0,0,0.0
168,157.16448680000002,D#3,4.0
169,0.0,0,0.0
170,68.84268180000001,C#2,2.0
171,17.7043702,C#0,2.0
172,0.0,0,0.0
173,0.0,0,0.0
174,0.0,0,0.0
175,0.0,0,0.0
176,0.0,0,0.0
177,99.44620766666667,G2,8.0
178,185.6330994,F#3,7.0
179,282.3362486,C#4,2.0
180,201.50942999999998,G3,8.0
181,71.4902648,D2,3.0
182,348.30422466666664,F4,6.0
183,265.6843566,C4,1.0
184,296.068451,D4,3.0
185,320.1365103333333,D#4,4.0
186,348.2680176,F4,6.0
187,349.1475576666667,F4,6.0
188,139.99437240000003,C#3,2.0
189,0.0,0,0.0
190,349.98110966666667,F4,6.0
191,183.3452972,F#3,7.0
192,0.0,0,0.0
193,0.0,0,0.0
194,212.24615459999995,G#3,9.0
195,300.320704,D4,3.0
196,0.0,0,0.0
197,0.0,0,0.0
198,117.13600666666666,A#2,11.0
199,368.33464380000004,F#4,7.0
200,58.61902866666667,A#1,11.0
201,50.18479,G1,8.0
202,414.2856808,G#4,9.0
203,368.1731211666667,F#4,7.0
204,321.3904358,E4,5.0
205,447.7492066,A4,10.0
206,326.48312899999996,E4,5.0
207,500.6588868,B4,12.0
208,352.4601388333333,F4,6.0
209,414.39686280000006,G#4,9.0
210,406.7959962,G#4,9.0
211,114.0302175,A#2,11.0
212,104.84065700000001,G#2,9.0
213,222.60596866666666,A3,10.0
214,87.090135,F2,6.0
215,0.0,0,0.0
